The training set: set 3
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.2160 (2.2160)	Accuracy 25.000 (25.000)
Epoch: [0][ 10/292]	Loss 2.4893 (3.5303)	Accuracy 25.000 (18.182)
Epoch: [0][ 20/292]	Loss 2.0406 (2.9251)	Accuracy  9.375 (18.006)
Epoch: [0][ 30/292]	Loss 2.1494 (2.6110)	Accuracy  9.375 (18.145)
Epoch: [0][ 40/292]	Loss 2.0062 (2.4333)	Accuracy  3.125 (18.064)
Epoch: [0][ 50/292]	Loss 1.8913 (2.3276)	Accuracy 21.875 (18.076)
Epoch: [0][ 60/292]	Loss 2.2712 (2.2513)	Accuracy  9.375 (17.930)
Epoch: [0][ 70/292]	Loss 1.6295 (2.1856)	Accuracy 28.125 (18.838)
Epoch: [0][ 80/292]	Loss 1.7114 (2.1370)	Accuracy 31.250 (19.213)
Epoch: [0][ 90/292]	Loss 1.8681 (2.1064)	Accuracy 25.000 (19.162)
Epoch: [0][100/292]	Loss 1.7271 (2.0776)	Accuracy 18.750 (19.245)
Epoch: [0][110/292]	Loss 1.7620 (2.0535)	Accuracy 21.875 (19.454)
Epoch: [0][120/292]	Loss 1.8757 (2.0288)	Accuracy 18.750 (19.757)
Epoch: [0][130/292]	Loss 1.8896 (2.0095)	Accuracy 21.875 (19.847)
Epoch: [0][140/292]	Loss 1.7216 (1.9957)	Accuracy 21.875 (20.080)
Epoch: [0][150/292]	Loss 1.7281 (1.9840)	Accuracy 25.000 (20.364)
Epoch: [0][160/292]	Loss 1.9298 (1.9734)	Accuracy 25.000 (20.342)
Epoch: [0][170/292]	Loss 1.7490 (1.9604)	Accuracy 31.250 (20.614)
Epoch: [0][180/292]	Loss 1.9211 (1.9501)	Accuracy 21.875 (20.925)
Epoch: [0][190/292]	Loss 1.7811 (1.9428)	Accuracy 25.000 (20.942)
Epoch: [0][200/292]	Loss 1.6610 (1.9353)	Accuracy 28.125 (20.973)
Epoch: [0][210/292]	Loss 1.7687 (1.9282)	Accuracy 34.375 (21.075)
Epoch: [0][220/292]	Loss 1.7683 (1.9225)	Accuracy 18.750 (21.225)
Epoch: [0][230/292]	Loss 1.9027 (1.9184)	Accuracy  9.375 (21.280)
Epoch: [0][240/292]	Loss 1.7208 (1.9130)	Accuracy 21.875 (21.356)
Epoch: [0][250/292]	Loss 1.7932 (1.9077)	Accuracy 21.875 (21.501)
Epoch: [0][260/292]	Loss 1.8380 (1.9028)	Accuracy 12.500 (21.600)
Epoch: [0][270/292]	Loss 1.7613 (1.8985)	Accuracy 21.875 (21.610)
Epoch: [0][280/292]	Loss 1.7181 (1.8948)	Accuracy 31.250 (21.697)
Epoch: [0][290/292]	Loss 1.7413 (1.8902)	Accuracy 18.750 (21.735)
Test: [ 0/74]	Loss 2.7914 (2.7914)	Accuracy  0.000 ( 0.000)
Test: [10/74]	Loss 1.6716 (2.0206)	Accuracy 12.500 (14.489)
Test: [20/74]	Loss 1.7599 (1.9136)	Accuracy 18.750 (19.643)
Test: [30/74]	Loss 1.7918 (1.8742)	Accuracy 21.875 (21.573)
